group_name,label,exterior_image,interior_image,exterior_path,interior_path
JD00066_vs_JD05013,1,JD00066_vs_JD05013_exterior.png,JD00066_vs_JD05013_interior.png,real_match\JD00066_vs_JD05013_exterior.png,real_match\JD00066_vs_JD05013_interior.png
JD00085_vs_JD03460_sample3,1,JD00085_vs_JD03460_sample3_exterior.png,JD00085_vs_JD03460_sample3_interior.png,real_match\JD00085_vs_JD03460_sample3_exterior.png,real_match\JD00085_vs_JD03460_sample3_interior.png
JD00184_vs_JD00514_sample2,1,JD00184_vs_JD00514_sample2_exterior.png,JD00184_vs_JD00514_sample2_interior.png,real_match\JD00184_vs_JD00514_sample2_exterior.png,real_match\JD00184_vs_JD00514_sample2_interior.png
JD00287_vs_JD00616_sample2,1,JD00287_vs_JD00616_sample2_exterior.png,JD00287_vs_JD00616_sample2_interior.png,real_match\JD00287_vs_JD00616_sample2_exterior.png,real_match\JD00287_vs_JD00616_sample2_interior.png
JD00370_vs_JD08811_sample1,1,JD00370_vs_JD08811_sample1_exterior.png,JD00370_vs_JD08811_sample1_interior.png,real_match\JD00370_vs_JD08811_sample1_exterior.png,real_match\JD00370_vs_JD08811_sample1_interior.png
JD00553_vs_JD06321_sample2,1,JD00553_vs_JD06321_sample2_exterior.png,JD00553_vs_JD06321_sample2_interior.png,real_match\JD00553_vs_JD06321_sample2_exterior.png,real_match\JD00553_vs_JD06321_sample2_interior.png
JD00779 and JD00277,1,JD00779 and JD00277_exterior.png,JD00779 and JD00277_interior.png,real_match\JD00779 and JD00277_exterior.png,real_match\JD00779 and JD00277_interior.png
JD00856_vs_JD01013_sample4,1,JD00856_vs_JD01013_sample4_exterior.png,JD00856_vs_JD01013_sample4_interior.png,real_match\JD00856_vs_JD01013_sample4_exterior.png,real_match\JD00856_vs_JD01013_sample4_interior.png
JD00859_vs_JD00961,1,JD00859_vs_JD00961_exterior.png,JD00859_vs_JD00961_interior.png,real_match\JD00859_vs_JD00961_exterior.png,real_match\JD00859_vs_JD00961_interior.png
JD00868_vs_JD01142,1,JD00868_vs_JD01142_exterior.png,JD00868_vs_JD01142_interior.png,real_match\JD00868_vs_JD01142_exterior.png,real_match\JD00868_vs_JD01142_interior.png
JD00868_vs_JD01142_sample0,1,JD00868_vs_JD01142_sample0_exterior.png,JD00868_vs_JD01142_sample0_interior.png,real_match\JD00868_vs_JD01142_sample0_exterior.png,real_match\JD00868_vs_JD01142_sample0_interior.png
JD00924_vs_JD01004,1,JD00924_vs_JD01004_exterior.png,JD00924_vs_JD01004_interior.png,real_match\JD00924_vs_JD01004_exterior.png,real_match\JD00924_vs_JD01004_interior.png
JD01002_vs_JD01037,1,JD01002_vs_JD01037_exterior.png,JD01002_vs_JD01037_interior.png,real_match\JD01002_vs_JD01037_exterior.png,real_match\JD01002_vs_JD01037_interior.png
JD01021_vs_JD00871,1,JD01021_vs_JD00871_exterior.png,JD01021_vs_JD00871_interior.png,real_match\JD01021_vs_JD00871_exterior.png,real_match\JD01021_vs_JD00871_interior.png
JD01043 and JD01076,1,JD01043 and JD01076_exterior.png,JD01043 and JD01076_interior.png,real_match\JD01043 and JD01076_exterior.png,real_match\JD01043 and JD01076_interior.png
JD01091_vs_JD01369,1,JD01091_vs_JD01369_exterior.png,JD01091_vs_JD01369_interior.png,real_match\JD01091_vs_JD01369_exterior.png,real_match\JD01091_vs_JD01369_interior.png
JD01187_vs_JD09478_sample0,1,JD01187_vs_JD09478_sample0_exterior.png,JD01187_vs_JD09478_sample0_interior.png,real_match\JD01187_vs_JD09478_sample0_exterior.png,real_match\JD01187_vs_JD09478_sample0_interior.png
JD01193_vs_JD13682_sample1,1,JD01193_vs_JD13682_sample1_exterior.png,JD01193_vs_JD13682_sample1_interior.png,real_match\JD01193_vs_JD13682_sample1_exterior.png,real_match\JD01193_vs_JD13682_sample1_interior.png
JD01324_vs_JD11377_sample3,1,JD01324_vs_JD11377_sample3_exterior.png,JD01324_vs_JD11377_sample3_interior.png,real_match\JD01324_vs_JD11377_sample3_exterior.png,real_match\JD01324_vs_JD11377_sample3_interior.png
JD01328_vs_JD01402,1,JD01328_vs_JD01402_exterior.png,JD01328_vs_JD01402_interior.png,real_match\JD01328_vs_JD01402_exterior.png,real_match\JD01328_vs_JD01402_interior.png
JD01344_vs_JD01429,1,JD01344_vs_JD01429_exterior.png,JD01344_vs_JD01429_interior.png,real_match\JD01344_vs_JD01429_exterior.png,real_match\JD01344_vs_JD01429_interior.png
JD01347_vs_JD00909_sample1,1,JD01347_vs_JD00909_sample1_exterior.png,JD01347_vs_JD00909_sample1_interior.png,real_match\JD01347_vs_JD00909_sample1_exterior.png,real_match\JD01347_vs_JD00909_sample1_interior.png
JD01370_vs_JD01454_sample0,1,JD01370_vs_JD01454_sample0_exterior.png,JD01370_vs_JD01454_sample0_interior.png,real_match\JD01370_vs_JD01454_sample0_exterior.png,real_match\JD01370_vs_JD01454_sample0_interior.png
JD01559_vs_JD07305_sample4,1,JD01559_vs_JD07305_sample4_exterior.png,JD01559_vs_JD07305_sample4_interior.png,real_match\JD01559_vs_JD07305_sample4_exterior.png,real_match\JD01559_vs_JD07305_sample4_interior.png
JD01690_vs_JD09391_sample3,1,JD01690_vs_JD09391_sample3_exterior.png,JD01690_vs_JD09391_sample3_interior.png,real_match\JD01690_vs_JD09391_sample3_exterior.png,real_match\JD01690_vs_JD09391_sample3_interior.png
JD01859_vs_JD10267_sample4,1,JD01859_vs_JD10267_sample4_exterior.png,JD01859_vs_JD10267_sample4_interior.png,real_match\JD01859_vs_JD10267_sample4_exterior.png,real_match\JD01859_vs_JD10267_sample4_interior.png
JD01894_vs_JD01857_sample2,1,JD01894_vs_JD01857_sample2_exterior.png,JD01894_vs_JD01857_sample2_interior.png,real_match\JD01894_vs_JD01857_sample2_exterior.png,real_match\JD01894_vs_JD01857_sample2_interior.png
JD01973_vs_JD01899_sample0,1,JD01973_vs_JD01899_sample0_exterior.png,JD01973_vs_JD01899_sample0_interior.png,real_match\JD01973_vs_JD01899_sample0_exterior.png,real_match\JD01973_vs_JD01899_sample0_interior.png
JD01999_vs_JD15563_sample3,1,JD01999_vs_JD15563_sample3_exterior.png,JD01999_vs_JD15563_sample3_interior.png,real_match\JD01999_vs_JD15563_sample3_exterior.png,real_match\JD01999_vs_JD15563_sample3_interior.png
JD02001_vs_JD02101_sample4,1,JD02001_vs_JD02101_sample4_exterior.png,JD02001_vs_JD02101_sample4_interior.png,real_match\JD02001_vs_JD02101_sample4_exterior.png,real_match\JD02001_vs_JD02101_sample4_interior.png
JD02031_vs_JD02008_sample2,1,JD02031_vs_JD02008_sample2_exterior.png,JD02031_vs_JD02008_sample2_interior.png,real_match\JD02031_vs_JD02008_sample2_exterior.png,real_match\JD02031_vs_JD02008_sample2_interior.png
JD02080_vs_JD07207_sample2,1,JD02080_vs_JD07207_sample2_exterior.png,JD02080_vs_JD07207_sample2_interior.png,real_match\JD02080_vs_JD07207_sample2_exterior.png,real_match\JD02080_vs_JD07207_sample2_interior.png
JD02091_vs_JD04877_sample2,1,JD02091_vs_JD04877_sample2_exterior.png,JD02091_vs_JD04877_sample2_interior.png,real_match\JD02091_vs_JD04877_sample2_exterior.png,real_match\JD02091_vs_JD04877_sample2_interior.png
JD02101_vs_JD02001_sample1,1,JD02101_vs_JD02001_sample1_exterior.png,JD02101_vs_JD02001_sample1_interior.png,real_match\JD02101_vs_JD02001_sample1_exterior.png,real_match\JD02101_vs_JD02001_sample1_interior.png
JD02119_vs_JD09914_sample0,1,JD02119_vs_JD09914_sample0_exterior.png,JD02119_vs_JD09914_sample0_interior.png,real_match\JD02119_vs_JD09914_sample0_exterior.png,real_match\JD02119_vs_JD09914_sample0_interior.png
JD02173_vs_JD11284_sample1,1,JD02173_vs_JD11284_sample1_exterior.png,JD02173_vs_JD11284_sample1_interior.png,real_match\JD02173_vs_JD11284_sample1_exterior.png,real_match\JD02173_vs_JD11284_sample1_interior.png
JD02197_vs_JD12165_sample0,1,JD02197_vs_JD12165_sample0_exterior.png,JD02197_vs_JD12165_sample0_interior.png,real_match\JD02197_vs_JD12165_sample0_exterior.png,real_match\JD02197_vs_JD12165_sample0_interior.png
JD02538_vs_JD02570,1,JD02538_vs_JD02570_exterior.png,JD02538_vs_JD02570_interior.png,real_match\JD02538_vs_JD02570_exterior.png,real_match\JD02538_vs_JD02570_interior.png
JD02629 and JD08104,1,JD02629 and JD08104_exterior.png,JD02629 and JD08104_interior.png,real_match\JD02629 and JD08104_exterior.png,real_match\JD02629 and JD08104_interior.png
JD02642_vs_JD02768,1,JD02642_vs_JD02768_exterior.png,JD02642_vs_JD02768_interior.png,real_match\JD02642_vs_JD02768_exterior.png,real_match\JD02642_vs_JD02768_interior.png
JD02723_vs_JD02808,1,JD02723_vs_JD02808_exterior.png,JD02723_vs_JD02808_interior.png,real_match\JD02723_vs_JD02808_exterior.png,real_match\JD02723_vs_JD02808_interior.png
JD02771_vs_JD13061_sample2,1,JD02771_vs_JD13061_sample2_exterior.png,JD02771_vs_JD13061_sample2_interior.png,real_match\JD02771_vs_JD13061_sample2_exterior.png,real_match\JD02771_vs_JD13061_sample2_interior.png
JD02771_vs_JD15894,1,JD02771_vs_JD15894_exterior.png,JD02771_vs_JD15894_interior.png,real_match\JD02771_vs_JD15894_exterior.png,real_match\JD02771_vs_JD15894_interior.png
JD02777_vs_JD12835,1,JD02777_vs_JD12835_exterior.png,JD02777_vs_JD12835_interior.png,real_match\JD02777_vs_JD12835_exterior.png,real_match\JD02777_vs_JD12835_interior.png
JD02830_vs_JD03132_sample4,1,JD02830_vs_JD03132_sample4_exterior.png,JD02830_vs_JD03132_sample4_interior.png,real_match\JD02830_vs_JD03132_sample4_exterior.png,real_match\JD02830_vs_JD03132_sample4_interior.png
JD02865_vs_JD11073_sample0,1,JD02865_vs_JD11073_sample0_exterior.png,JD02865_vs_JD11073_sample0_interior.png,real_match\JD02865_vs_JD11073_sample0_exterior.png,real_match\JD02865_vs_JD11073_sample0_interior.png
JD02925 and JD02941,1,JD02925 and JD02941_exterior.png,JD02925 and JD02941_interior.png,real_match\JD02925 and JD02941_exterior.png,real_match\JD02925 and JD02941_interior.png
JD02941_vs_JD02925_sample2,1,JD02941_vs_JD02925_sample2_exterior.png,JD02941_vs_JD02925_sample2_interior.png,real_match\JD02941_vs_JD02925_sample2_exterior.png,real_match\JD02941_vs_JD02925_sample2_interior.png
JD02949_vs_JD05323_sample2,1,JD02949_vs_JD05323_sample2_exterior.png,JD02949_vs_JD05323_sample2_interior.png,real_match\JD02949_vs_JD05323_sample2_exterior.png,real_match\JD02949_vs_JD05323_sample2_interior.png
JD03079_vs_JD12316_sample3,1,JD03079_vs_JD12316_sample3_exterior.png,JD03079_vs_JD12316_sample3_interior.png,real_match\JD03079_vs_JD12316_sample3_exterior.png,real_match\JD03079_vs_JD12316_sample3_interior.png
JD03131_vs_JD11999,1,JD03131_vs_JD11999_exterior.png,JD03131_vs_JD11999_interior.png,real_match\JD03131_vs_JD11999_exterior.png,real_match\JD03131_vs_JD11999_interior.png
JD03291_vs_JD15265_sample2,1,JD03291_vs_JD15265_sample2_exterior.png,JD03291_vs_JD15265_sample2_interior.png,real_match\JD03291_vs_JD15265_sample2_exterior.png,real_match\JD03291_vs_JD15265_sample2_interior.png
JD03333_vs_JD14650_sample0,1,JD03333_vs_JD14650_sample0_exterior.png,JD03333_vs_JD14650_sample0_interior.png,real_match\JD03333_vs_JD14650_sample0_exterior.png,real_match\JD03333_vs_JD14650_sample0_interior.png
JD03431_vs_JD04953_sample0,1,JD03431_vs_JD04953_sample0_exterior.png,JD03431_vs_JD04953_sample0_interior.png,real_match\JD03431_vs_JD04953_sample0_exterior.png,real_match\JD03431_vs_JD04953_sample0_interior.png
JD03538_vs_JD05588_sample1,1,JD03538_vs_JD05588_sample1_exterior.png,JD03538_vs_JD05588_sample1_interior.png,real_match\JD03538_vs_JD05588_sample1_exterior.png,real_match\JD03538_vs_JD05588_sample1_interior.png
JD03541_vs_JD07213,1,JD03541_vs_JD07213_exterior.png,JD03541_vs_JD07213_interior.png,real_match\JD03541_vs_JD07213_exterior.png,real_match\JD03541_vs_JD07213_interior.png
JD03554_vs_JD03662_sample3,1,JD03554_vs_JD03662_sample3_exterior.png,JD03554_vs_JD03662_sample3_interior.png,real_match\JD03554_vs_JD03662_sample3_exterior.png,real_match\JD03554_vs_JD03662_sample3_interior.png
JD03574_vs_JD02096_sample3,1,JD03574_vs_JD02096_sample3_exterior.png,JD03574_vs_JD02096_sample3_interior.png,real_match\JD03574_vs_JD02096_sample3_exterior.png,real_match\JD03574_vs_JD02096_sample3_interior.png
JD03574_vs_JD04008_sample3,1,JD03574_vs_JD04008_sample3_exterior.png,JD03574_vs_JD04008_sample3_interior.png,real_match\JD03574_vs_JD04008_sample3_exterior.png,real_match\JD03574_vs_JD04008_sample3_interior.png
JD03596_vs_JD06727_sample0,1,JD03596_vs_JD06727_sample0_exterior.png,JD03596_vs_JD06727_sample0_interior.png,real_match\JD03596_vs_JD06727_sample0_exterior.png,real_match\JD03596_vs_JD06727_sample0_interior.png
JD03600_vs_JD09914_sample1,1,JD03600_vs_JD09914_sample1_exterior.png,JD03600_vs_JD09914_sample1_interior.png,real_match\JD03600_vs_JD09914_sample1_exterior.png,real_match\JD03600_vs_JD09914_sample1_interior.png
JD03610_vs_JD10431_sample0,1,JD03610_vs_JD10431_sample0_exterior.png,JD03610_vs_JD10431_sample0_interior.png,real_match\JD03610_vs_JD10431_sample0_exterior.png,real_match\JD03610_vs_JD10431_sample0_interior.png
JD03613_vs_JD10367_sample2,1,JD03613_vs_JD10367_sample2_exterior.png,JD03613_vs_JD10367_sample2_interior.png,real_match\JD03613_vs_JD10367_sample2_exterior.png,real_match\JD03613_vs_JD10367_sample2_interior.png
JD03692_vs_JD11799_sample2,1,JD03692_vs_JD11799_sample2_exterior.png,JD03692_vs_JD11799_sample2_interior.png,real_match\JD03692_vs_JD11799_sample2_exterior.png,real_match\JD03692_vs_JD11799_sample2_interior.png
JD03698_vs_JD03861_sample4,1,JD03698_vs_JD03861_sample4_exterior.png,JD03698_vs_JD03861_sample4_interior.png,real_match\JD03698_vs_JD03861_sample4_exterior.png,real_match\JD03698_vs_JD03861_sample4_interior.png
JD03757_vs_JD07013,1,JD03757_vs_JD07013_exterior.png,JD03757_vs_JD07013_interior.png,real_match\JD03757_vs_JD07013_exterior.png,real_match\JD03757_vs_JD07013_interior.png
JD03790_vs_JD09004_sample4,1,JD03790_vs_JD09004_sample4_exterior.png,JD03790_vs_JD09004_sample4_interior.png,real_match\JD03790_vs_JD09004_sample4_exterior.png,real_match\JD03790_vs_JD09004_sample4_interior.png
JD03801_vs_JD03431_sample3,1,JD03801_vs_JD03431_sample3_exterior.png,JD03801_vs_JD03431_sample3_interior.png,real_match\JD03801_vs_JD03431_sample3_exterior.png,real_match\JD03801_vs_JD03431_sample3_interior.png
JD03812_vs_JD05759_sample1,1,JD03812_vs_JD05759_sample1_exterior.png,JD03812_vs_JD05759_sample1_interior.png,real_match\JD03812_vs_JD05759_sample1_exterior.png,real_match\JD03812_vs_JD05759_sample1_interior.png
JD03839_vs_JD01174_sample1,1,JD03839_vs_JD01174_sample1_exterior.png,JD03839_vs_JD01174_sample1_interior.png,real_match\JD03839_vs_JD01174_sample1_exterior.png,real_match\JD03839_vs_JD01174_sample1_interior.png
JD03867_vs_JD04125,1,JD03867_vs_JD04125_exterior.png,JD03867_vs_JD04125_interior.png,real_match\JD03867_vs_JD04125_exterior.png,real_match\JD03867_vs_JD04125_interior.png
JD03867_vs_JD04125_sample4,1,JD03867_vs_JD04125_sample4_exterior.png,JD03867_vs_JD04125_sample4_interior.png,real_match\JD03867_vs_JD04125_sample4_exterior.png,real_match\JD03867_vs_JD04125_sample4_interior.png
JD03888_vs_JD14783_sample1,1,JD03888_vs_JD14783_sample1_exterior.png,JD03888_vs_JD14783_sample1_interior.png,real_match\JD03888_vs_JD14783_sample1_exterior.png,real_match\JD03888_vs_JD14783_sample1_interior.png
JD04064_vs_JD14289_sample0,1,JD04064_vs_JD14289_sample0_exterior.png,JD04064_vs_JD14289_sample0_interior.png,real_match\JD04064_vs_JD14289_sample0_exterior.png,real_match\JD04064_vs_JD14289_sample0_interior.png
JD04129_vs_JD03588_sample3,1,JD04129_vs_JD03588_sample3_exterior.png,JD04129_vs_JD03588_sample3_interior.png,real_match\JD04129_vs_JD03588_sample3_exterior.png,real_match\JD04129_vs_JD03588_sample3_interior.png
JD04217_vs_JD04347,1,JD04217_vs_JD04347_exterior.png,JD04217_vs_JD04347_interior.png,real_match\JD04217_vs_JD04347_exterior.png,real_match\JD04217_vs_JD04347_interior.png
JD04226_vs_JD13093_sample1,1,JD04226_vs_JD13093_sample1_exterior.png,JD04226_vs_JD13093_sample1_interior.png,real_match\JD04226_vs_JD13093_sample1_exterior.png,real_match\JD04226_vs_JD13093_sample1_interior.png
JD04241_vs_JD13475_sample3,1,JD04241_vs_JD13475_sample3_exterior.png,JD04241_vs_JD13475_sample3_interior.png,real_match\JD04241_vs_JD13475_sample3_exterior.png,real_match\JD04241_vs_JD13475_sample3_interior.png
JD04265_vs_JD04321_sample4,1,JD04265_vs_JD04321_sample4_exterior.png,JD04265_vs_JD04321_sample4_interior.png,real_match\JD04265_vs_JD04321_sample4_exterior.png,real_match\JD04265_vs_JD04321_sample4_interior.png
JD04272_vs_JD04983_sample2,1,JD04272_vs_JD04983_sample2_exterior.png,JD04272_vs_JD04983_sample2_interior.png,real_match\JD04272_vs_JD04983_sample2_exterior.png,real_match\JD04272_vs_JD04983_sample2_interior.png
JD04355_vs_JD04538,1,JD04355_vs_JD04538_exterior.png,JD04355_vs_JD04538_interior.png,real_match\JD04355_vs_JD04538_exterior.png,real_match\JD04355_vs_JD04538_interior.png
JD04490_vs_JD12539_sample2,1,JD04490_vs_JD12539_sample2_exterior.png,JD04490_vs_JD12539_sample2_interior.png,real_match\JD04490_vs_JD12539_sample2_exterior.png,real_match\JD04490_vs_JD12539_sample2_interior.png
JD04506_vs_JD12526,1,JD04506_vs_JD12526_exterior.png,JD04506_vs_JD12526_interior.png,real_match\JD04506_vs_JD12526_exterior.png,real_match\JD04506_vs_JD12526_interior.png
